repoName,lastCommitter,link
EBSCOIS/platform.shared.ebsco-analytics.ls036,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls036/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls037,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls037/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls038,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls038/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls039,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls039/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls040,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls040/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls041,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls041/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls042,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls042/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls043,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls043/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls044,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls044/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls045,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls045/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ls050,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ls050/settings/access
EBSCOIS/platform.shared.ebsco-analytics.LSE,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.LSE/settings/access
EBSCOIS/platform.shared.ebsco-analytics.MMM,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.MMM/settings/access
EBSCOIS/platform.shared.ebsco-analytics.NBC,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.NBC/settings/access
EBSCOIS/platform.shared.ebsco-analytics.NNN,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.NNN/settings/access
EBSCOIS/platform.shared.ebsco-analytics.NNU,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.NNU/settings/access
EBSCOIS/platform.shared.ebsco-analytics.QRS,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.QRS/settings/access
EBSCOIS/platform.shared.ebsco-analytics.SPR,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.SPR/settings/access
EBSCOIS/platform.shared.ebsco-analytics.SPRQ,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.SPRQ/settings/access
